combo,realization,seed,n_sne,logz,pkl_path,alpha,beta,gamma,Om0,gamma_alpha,sn_tau,zeta
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,20,2020,1820,-447.95056474023716,Plots/z_uncert/z_020_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17781415741835538,3.769798767117671,0.0700026398034848,0.35029842912840464,-0.30744770446532904,1.449469987845316,-0.10447594660302478
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,21,2021,1820,-454.1638630846598,Plots/z_uncert/z_021_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17549793745932468,3.7956138991830226,0.06610881521738199,0.350599189009877,-0.3435526612110462,1.4507653902594515,-0.09687039952867768
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,22,2022,1820,-461.3762238976042,Plots/z_uncert/z_022_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17463248530880107,3.7832686242742297,0.06804224843227426,0.3558347906699121,-0.30844600167011527,1.435535807863974,-0.101026924429359
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,23,2023,1820,-457.6018978292397,Plots/z_uncert/z_023_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17355299710217315,3.7669677319608685,0.057141055320977865,0.35249780607335424,-0.37202820791486063,1.4679968687290879,-0.10860879697479013
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,24,2024,1820,-461.14430875358534,Plots/z_uncert/z_024_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17850390624940998,3.782894177582005,0.06905656908054916,0.35155865300826,-0.32864721398945573,1.436922573521339,-0.10451297306477525
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,25,2025,1820,-452.15096509706945,Plots/z_uncert/z_025_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17709169754856668,3.7868149583167865,0.0697812263509165,0.3553024063821309,-0.32351960720096995,1.4483885480474257,-0.10192063129986348
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,26,2026,1820,-452.4774166758992,Plots/z_uncert/z_026_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17536789326789465,3.7581298560655956,0.06744507608023927,0.35183152498350306,-0.3025083420836419,1.4858685260219417,-0.10349580570609036
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,27,2027,1820,-445.8656346066887,Plots/z_uncert/z_027_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17594518070688606,3.8035538154804054,0.06127927874105668,0.34834282353035806,-0.28457824303530954,1.4102600199372493,-0.11370963284876609
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,28,2028,1820,-444.73080241533654,Plots/z_uncert/z_028_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.1779727675866541,3.8160556988805374,0.07085528189036032,0.35475183682910294,-0.3117258808635242,1.3796887881959707,-0.10138529133854145
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,29,2029,1820,-449.0861465071782,Plots/z_uncert/z_029_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17692482982182972,3.802537275121302,0.06705252064644271,0.3484773221501705,-0.3476921674068282,1.4369358160602637,-0.09879533505655935
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,30,2030,1820,-451.87037689979906,Plots/z_uncert/z_030_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17682648062084128,3.802363648849585,0.07405103319013417,0.35231101577766655,-0.3099244731650283,1.4195417685494756,-0.09773127203634648
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,31,2031,1820,-449.627350700501,Plots/z_uncert/z_031_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17732334084617785,3.7322985195090252,0.06923962839648977,0.3533596711611022,-0.3158653560778352,1.5785499555037226,-0.0987516578080064
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,32,2032,1820,-440.9400365538308,Plots/z_uncert/z_032_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.1767014067169718,3.793405920834645,0.06469873405149214,0.3492312505052859,-0.35743296098672134,1.4467074058819107,-0.10448499576220667
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,33,2033,1820,-441.31615506351136,Plots/z_uncert/z_033_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.1759254306097969,3.799560141244457,0.07001092742284548,0.35295275354966255,-0.34238964415452644,1.426732188550032,-0.10208529625287542
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,34,2034,1820,-454.82012409228383,Plots/z_uncert/z_034_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.1764819193177923,3.7537983551930028,0.06840806184381108,0.35525524087239757,-0.3100788436807355,1.476417727088844,-0.10564965020312458
