run_name,param,prior_type,prior_mu,prior_sigma,post_mean,post_std,shrinkage,pull,flag
host_col_model/host_colour_broken_mass_step_inter_only_M0,Om0,truncated_gaussian,0.3175,0.0275,0.34833,0.01592,0.4211,1.1211,
host_col_model/host_colour_broken_mass_sigmoid_inter_only_M0,Om0,truncated_gaussian,0.3175,0.0275,0.34706,0.01592,0.4211,1.0749,
host_col_model/host_colour_asymm_mass_sigmoid_inter_M0,Om0,truncated_gaussian,0.3175,0.0275,0.35014,0.01592,0.4211,1.1869,
ssfr/ssfr_tanh_hcol_tanh_xi_sSFR_col,Om0,truncated_gaussian,0.3175,0.0275,0.35566,0.01592,0.4211,1.3876,
sn_col_model/sncolour_stepbroken_c0_sntau,Om0,truncated_gaussian,0.3175,0.0275,0.35561,0.01592,0.4211,1.3858,
ssfr/ssfr_step_hcol_sigmoid,Om0,truncated_gaussian,0.3175,0.0275,0.35742,0.01591,0.4215,1.4516,
host_col_model/host_colour_linear_mass_step,Om0,truncated_gaussian,0.3175,0.0275,0.35707,0.01591,0.4215,1.4389,
host_col_model/host_colour_asymm_mass_sigmoid_inter_only_M0,Om0,truncated_gaussian,0.3175,0.0275,0.34759,0.0159,0.4218,1.0942,
host_col_model/host_colour_asymm_doublemass_step,Om0,truncated_gaussian,0.3175,0.0275,0.34891,0.0159,0.4218,1.1422,
ssfr/ssfr_step_masssigmoid_M0,Om0,truncated_gaussian,0.3175,0.0275,0.35669,0.01589,0.4222,1.4251,
ssfr/ssfr_step_masslinear,Om0,truncated_gaussian,0.3175,0.0275,0.35511,0.01588,0.4225,1.3676,
ssfr/ssfr_tanh_massstep_F0ftau,Om0,truncated_gaussian,0.3175,0.0275,0.35933,0.01588,0.4225,1.5211,
ssfr/ssfr_step_F0_uniformF0,Om0,truncated_gaussian,0.3175,0.0275,0.35903,0.01588,0.4225,1.5102,
ssfr/ssfr_step_massstep,Om0,truncated_gaussian,0.3175,0.0275,0.36017,0.01587,0.4229,1.5516,
host_col_model/host_colour_asymm_mass_none,Om0,truncated_gaussian,0.3175,0.0275,0.36082,0.01587,0.4229,1.5753,
ssfr/ssfr_step_massstep_hcol_tanh,Om0,truncated_gaussian,0.3175,0.0275,0.35557,0.01587,0.4229,1.3844,
host_col_model/host_colour_tanh_mass_step_htau,Om0,truncated_gaussian,0.3175,0.0275,0.35547,0.01587,0.4229,1.3807,
host_col_model/host_colour_sigmoid_mass_sigmoid_inter_only_M0,Om0,truncated_gaussian,0.3175,0.0275,0.34824,0.01587,0.4229,1.1178,
host_col_model/host_colour_linear_mass_none,Om0,truncated_gaussian,0.3175,0.0275,0.36122,0.01586,0.4233,1.5898,
ssfr/ssfr_tanh_massstep,Om0,truncated_gaussian,0.3175,0.0275,0.36086,0.01586,0.4233,1.5767,
host_col_model/host_colour_sigmoid_mass_step,Om0,truncated_gaussian,0.3175,0.0275,0.35665,0.01586,0.4233,1.4236,
ssfr/ssfr_smooth_F0_sigmoid_wide_ftau,Om0,truncated_gaussian,0.3175,0.0275,0.35945,0.01584,0.424,1.5255,
host_col_model/host_colour_sigmoid_mass_none,Om0,truncated_gaussian,0.3175,0.0275,0.36064,0.01584,0.424,1.5687,
host_col_model/host_colour_quadratic_mass_step_inter,Om0,truncated_gaussian,0.3175,0.0275,0.35125,0.01584,0.424,1.2273,
ssfr/ssfr_step_nomass,Om0,truncated_gaussian,0.3175,0.0275,0.36291,0.01583,0.4244,1.6513,
ssfr/ssfr_tanh_massstep_xi_sSFR_mass_F0ftau,Om0,truncated_gaussian,0.3175,0.0275,0.35732,0.01582,0.4247,1.448,
ssfr/ssfr_step_masssigmoid,Om0,truncated_gaussian,0.3175,0.0275,0.35776,0.01582,0.4247,1.464,
ssfr/ssfr_step,Om0,truncated_gaussian,0.3175,0.0275,0.36031,0.01582,0.4247,1.5567,
ssfr/ssfr_step_nohcol_F0,Om0,truncated_gaussian,0.3175,0.0275,0.35406,0.01581,0.4251,1.3295,
host_col_model/host_colour_quadratic_mass_sigmoid_inter_M0,Om0,truncated_gaussian,0.3175,0.0275,0.34728,0.01581,0.4251,1.0829,
sn_col_model/sncolour_softbroken_c0_sntau,Om0,truncated_gaussian,0.3175,0.0275,0.35596,0.01581,0.4251,1.3985,
ssfr/ssfr_tanh_nohcol_F0ftau,Om0,truncated_gaussian,0.3175,0.0275,0.35447,0.01581,0.4251,1.3444,
host_col_model/host_colour_asymm_mass_tanh_inter_only_M0,Om0,truncated_gaussian,0.3175,0.0275,0.34846,0.0158,0.4255,1.1258,
sn_col_model/sncolour_softbroken_sntau,Om0,truncated_gaussian,0.3175,0.0275,0.35683,0.01579,0.4258,1.4302,
ssfr/ssfr_replace_both_step_nomass_nohcol,Om0,truncated_gaussian,0.3175,0.0275,0.36047,0.01579,0.4258,1.5625,
ssfr/ssfr_replace_both_tanh_nomass_nohcol_F0ftau,Om0,truncated_gaussian,0.3175,0.0275,0.35686,0.01579,0.4258,1.4313,
host_col_model/host_colour_quadratic_mass_none,Om0,truncated_gaussian,0.3175,0.0275,0.36011,0.01579,0.4258,1.5495,
ssfr/ssfr_step_massstep_hcol_tanh_F0,M0,truncated_gaussian,10.0,0.4,9.58429,0.22963,0.4259,-1.0393,
