run_name,timestamp,nlive,ndim,N_sne,dof,logZ,logZ_err,chi2,chi2_dof,logL_max,AIC,BIC,M_hat,cosmo_type,sn_colour_model,x1_correction_model,mass_model,host_colour_model,ssfr_model,z_evolve_model,zlo,zhi,x1_range,c_range,idsurvey,mass_cut,host_quality_cut,obs_z_type,active_params,prior_overrides,n_gh_nodes,host_colour_err,ssfr_err_max,host_var_penalty,alpha_mean,beta_mean,gamma_mean,Om0_mean,alpha_std,beta_std,gamma_std,Om0_std
z_uncert/z_035_mass_step,2026-09-06T09:30:05,2000,4,1820,1816,-487.446,0.059,1791.738,0.9866,-478.3817,964.763,986.79,-28.66647,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.16985,3.08989,0.06244,0.35011,0.00527,0.05582,0.01256,0.01561
z_uncert/z_075_mass_step,2026-09-06T09:30:11,2000,4,1820,1816,-465.661,0.057,1749.354,0.9633,-457.1898,922.38,944.406,-28.67084,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17255,3.10063,0.06799,0.34169,0.0053,0.05497,0.01236,0.01519
z_uncert/z_036_mass_step,2026-09-06T09:30:19,2000,4,1820,1816,-468.786,0.058,1755.309,0.9666,-460.1668,928.334,950.36,-28.67586,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17141,3.09115,0.05958,0.34204,0.00527,0.05518,0.01265,0.01515
z_uncert/z_079_mass_step,2026-09-06T09:30:27,2000,4,1820,1816,-465.952,0.059,1748.714,0.9629,-456.8696,921.739,943.766,-28.66867,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17089,3.08652,0.06191,0.35028,0.0053,0.05532,0.0126,0.01528
z_uncert/z_015_mass_step,2026-09-06T09:30:30,2000,4,1820,1816,-474.033,0.058,1765.623,0.9723,-465.3242,938.648,960.675,-28.6703,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17232,3.09856,0.0623,0.34432,0.00526,0.05441,0.01253,0.01515
z_uncert/z_045_mass_step,2026-09-06T09:30:37,2000,4,1820,1816,-463.631,0.057,1745.12,0.961,-455.0725,918.145,940.171,-28.6721,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17448,3.10502,0.06092,0.34134,0.00528,0.0553,0.01253,0.01534
z_uncert/z_066_mass_step,2026-09-06T09:30:44,2000,4,1820,1816,-471.537,0.058,1760.717,0.9696,-462.8712,933.742,955.769,-28.66624,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17192,3.10622,0.06451,0.34434,0.00529,0.05506,0.01263,0.01533
z_uncert/z_042_mass_step,2026-09-06T09:30:50,2000,4,1820,1816,-466.256,0.058,1750.044,0.9637,-457.5343,923.069,945.095,-28.67007,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17396,3.10088,0.06038,0.34416,0.00522,0.05526,0.01261,0.01492
z_uncert/z_037_mass_step,2026-09-06T09:30:57,2000,4,1820,1816,-475.412,0.057,1768.67,0.9739,-466.8477,941.695,963.722,-28.67319,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17247,3.09586,0.0602,0.34239,0.00523,0.05476,0.0126,0.01519
z_uncert/z_013_mass_step,2026-09-06T09:31:14,2000,4,1820,1816,-475.073,0.058,1767.468,0.9733,-466.2467,940.493,962.52,-28.67259,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17253,3.09186,0.06129,0.34593,0.00528,0.05497,0.0127,0.01525
z_uncert/z_061_mass_step,2026-09-06T09:31:24,2000,4,1820,1816,-471.753,0.058,1761.077,0.9698,-463.0508,934.102,956.128,-28.6738,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.1714,3.09291,0.05923,0.34391,0.00521,0.05559,0.01262,0.01529
z_uncert/z_011_mass_step,2026-09-06T09:31:28,2000,4,1820,1816,-475.846,0.057,1769.793,0.9746,-467.409,942.818,964.844,-28.68027,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17372,3.09265,0.05819,0.33861,0.00525,0.05463,0.01271,0.01516
z_uncert/z_022_mass_step,2026-09-06T09:31:57,2000,4,1820,1816,-480.524,0.059,1778.159,0.9792,-471.5922,951.184,973.211,-28.67131,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17016,3.08385,0.06225,0.34818,0.00526,0.05453,0.01259,0.01526
z_uncert/z_071_mass_step,2026-09-06T09:32:16,2000,4,1820,1816,-466.674,0.058,1750.744,0.9641,-457.8847,923.769,945.796,-28.67133,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17132,3.09288,0.06211,0.3451,0.00524,0.05528,0.01268,0.01542
z_uncert/z_076_mass_step,2026-09-06T09:32:25,2000,4,1820,1816,-467.195,0.058,1752.278,0.9649,-458.6514,925.303,947.329,-28.67578,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17226,3.09969,0.06362,0.33901,0.00519,0.05455,0.01264,0.01503
z_uncert/z_039_mass_step,2026-09-06T09:32:46,2000,4,1820,1816,-461.006,0.057,1739.989,0.9581,-452.5073,913.015,935.041,-28.67672,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17222,3.08866,0.06613,0.34116,0.00519,0.05438,0.01265,0.0152
z_uncert/z_009_mass_step,2026-09-06T09:33:19,2000,4,1820,1816,-468.873,0.058,1755.452,0.9667,-460.2384,928.477,950.503,-28.67713,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17105,3.08737,0.05844,0.34258,0.00523,0.05479,0.01259,0.01512
z_uncert/z_014_mass_step,2026-09-06T09:33:32,2000,4,1820,1816,-471.957,0.058,1761.598,0.97,-463.3116,934.623,956.65,-28.67671,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17158,3.09132,0.06229,0.34255,0.00526,0.05572,0.01269,0.01541
