run_name,timestamp,nlive,ndim,N_sne,dof,logZ,logZ_err,chi2,chi2_dof,logL_max,AIC,BIC,M_hat,cosmo_type,sn_colour_model,x1_correction_model,mass_model,host_colour_model,ssfr_model,z_evolve_model,zlo,zhi,x1_range,c_range,idsurvey,mass_cut,host_quality_cut,obs_z_type,active_params,prior_overrides,n_gh_nodes,host_colour_err,ssfr_err_max,host_var_penalty,alpha_mean,beta_mean,gamma_mean,Om0_mean,alpha_std,beta_std,gamma_std,Om0_std,sn_tau_mean,sn_tau_std,gamma_alpha_mean,gamma_alpha_std,zeta_mean,zeta_std
combo/host_qual_mass_linear_ssfr_tanh_all,2026-09-05T13:14:30,2500,5,1820,1815,-439.899,0.062,1670.601,0.9204,-427.643,865.286,892.819,-28.70201,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|zeta,,40,logmass/0.70,,False,0.17608,3.06042,0.06044,0.34702,0.00532,0.056,0.01819,0.01567,,,,,-0.10775,0.02273
combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_b01,2026-09-05T13:20:19,3000,6,1365,1359,-282.177,0.059,1242.4,0.9142,-268.79,549.58,580.894,-28.49374,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau,,40,logmass/0.70,,False,0.18006,3.67724,0.12711,0.33752,0.00691,0.28083,0.01878,0.01558,1.79846,0.7978,-0.24343,0.13456,,
combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_b02,2026-09-05T13:22:10,3000,6,1365,1359,-358.108,0.06,1386.737,1.0204,-343.8491,699.698,731.012,-28.45203,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau,,40,logmass/0.70,,False,0.17931,3.79148,0.10685,0.34082,0.0068,0.30544,0.01837,0.01621,1.55833,0.7272,-0.33057,0.15808,,
combo/fit_mass_linear_ssfr_tanh,2026-09-05T13:24:03,2500,5,1820,1815,-439.943,0.063,1670.592,0.9204,-427.6383,865.277,892.81,-28.70278,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|zeta,,40,logmass/0.70,,False,0.17606,3.0598,0.06013,0.34695,0.00533,0.05639,0.01855,0.01574,,,,,-0.10775,0.02295
combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b00,2026-09-05T13:51:07,3000,6,1365,1359,-332.089,0.06,987.686,0.7268,-318.4842,648.968,680.282,-28.68814,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|zeta,,40,logmass/0.70,,False,0.17867,3.08785,0.043,0.33284,0.00759,0.06583,0.02637,0.02243,,,-0.39231,0.21795,-0.09008,0.03228
combo/host_qual_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_strict,2026-09-05T13:52:48,3000,6,1369,1363,-533.11,0.06,1416.895,1.0395,-518.749,1049.498,1080.829,-28.51931,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,strict,all,alpha|beta|gamma|Om0|sn_tau|zeta,,40,logmass/0.70,,False,0.18345,3.63567,0.04614,0.3529,0.00664,0.25974,0.02518,0.02045,1.97684,0.81681,,,-0.1641,0.03122
combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b01,2026-09-05T13:53:02,3000,6,1365,1359,-278.929,0.06,1234.592,0.9085,-264.8864,541.773,573.086,-28.50842,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau|zeta,,40,logmass/0.70,,False,0.17412,3.65424,0.09083,0.34468,0.00591,0.29623,0.02061,0.0158,1.78405,0.80651,,,-0.08229,0.02539
combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b00,2026-09-05T13:53:23,3000,6,1365,1359,-331.075,0.057,987.354,0.7265,-318.318,648.636,679.949,-28.55086,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau|zeta,,40,logmass/0.70,,False,0.17803,3.60535,0.02833,0.33527,0.00688,0.26969,0.02641,0.02234,2.04433,0.84958,,,-0.11305,0.03203
combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b02,2026-09-05T13:55:12,3000,6,1365,1359,-352.656,0.063,1374.209,1.0112,-337.5847,687.169,718.483,-28.69957,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|zeta,,40,logmass/0.70,,False,0.17563,3.06086,0.06106,0.34702,0.00637,0.06266,0.02076,0.01637,,,-0.26382,0.13423,-0.11503,0.02513
combo/host_qual_mass_linear_ssfr_tanh_interaction_gammaalpha_strict,2026-09-05T13:56:20,3000,6,1369,1363,-533.705,0.063,1416.148,1.039,-518.3753,1048.751,1080.082,-28.66728,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,strict,all,alpha|beta|gamma|Om0|gamma_alpha|zeta,,40,logmass/0.70,,False,0.18171,3.10249,0.05399,0.35087,0.00716,0.06529,0.02447,0.02041,,,-0.30339,0.1279,-0.14875,0.03072
