run_name,timestamp,nlive,ndim,N_sne,dof,logZ,logZ_err,chi2,chi2_dof,logL_max,AIC,BIC,M_hat,cosmo_type,sn_colour_model,x1_correction_model,mass_model,host_colour_model,ssfr_model,z_evolve_model,zlo,zhi,x1_range,c_range,idsurvey,mass_cut,host_quality_cut,obs_z_type,active_params,prior_overrides,n_gh_nodes,host_colour_err,ssfr_err_max,host_var_penalty,alpha_mean,beta_mean,gamma_mean,Om0_mean,alpha_std,beta_std,gamma_std,Om0_std,gamma_alpha_mean,gamma_alpha_std,sn_tau_mean,sn_tau_std,zeta_mean,zeta_std
combo/drilling_02_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,2026-09-05T12:04:05,3500,7,283,276,-80.342,0.05,196.669,0.7126,-68.6133,151.227,176.745,-28.49188,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau|zeta,Om0:uniform,40,logmass/0.70,,False,0.19602,3.63981,0.03587,0.36121,0.01551,0.29049,0.04953,0.06764,-0.36206,0.59682,2.19878,0.91325,-0.08696,0.06041
combo/drilling_00_mass_linear_ssfr_tanh_sncolour_softbroken_sntau,2026-09-05T12:04:59,3000,6,580,574,-184.597,0.053,578.889,1.0085,-172.954,357.908,384.086,-28.43613,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau|zeta,Om0:uniform,40,logmass/0.70,,False,0.1728,3.68112,0.08532,0.40163,0.01047,0.29629,0.03805,0.04575,,,1.85049,0.85188,-0.06512,0.05004
combo/drilling_01_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,2026-09-05T12:41:35,3500,7,520,513,-242.019,0.056,514.739,1.0034,-228.163,470.326,500.103,-28.48052,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau|zeta,Om0:uniform,40,logmass/0.70,,False,0.17933,3.56547,0.0644,0.42105,0.01194,0.32135,0.03997,0.04524,-0.34971,0.17836,1.97769,0.92279,-0.18419,0.04885
combo/drilling_all_mass_linear_interaction_gammaalpha,2026-09-05T12:46:23,2500,5,1820,1815,-447.752,0.063,1686.182,0.929,-435.4333,880.867,908.4,-28.67092,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha,Om0:uniform,40,logmass/0.70,,False,0.18285,3.08992,0.10877,0.34773,0.00608,0.05595,0.01666,0.01899,-0.37701,0.14251,,,,
combo/drilling_all_mass_linear_sncolour_softbroken_sntau,2026-09-05T12:50:56,2500,5,1820,1815,-445.774,0.06,1682.678,0.9271,-433.6811,877.362,904.895,-28.4745,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau,Om0:uniform,40,logmass/0.70,,False,0.17455,3.79425,0.10248,0.35062,0.00534,0.28515,0.01585,0.01925,,,1.53085,0.68392,,
combo/drilling_00_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,2026-09-05T12:59:00,3500,7,580,573,-186.98,0.056,578.152,1.009,-172.5856,359.171,389.712,-28.41736,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau|zeta,Om0:uniform,40,logmass/0.70,,False,0.17483,3.68908,0.08787,0.40508,0.0112,0.30323,0.03842,0.04546,-0.19786,0.28074,1.83434,0.84871,-0.05373,0.04734
combo/drilling_all_mass_linear_ssfr_tanh,2026-09-05T13:25:37,2500,5,1820,1815,-440.35,0.064,1670.597,0.9204,-427.641,865.282,892.815,-28.70241,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|zeta,Om0:uniform,40,logmass/0.70,,False,0.17587,3.05489,0.05752,0.36209,0.00529,0.056,0.01833,0.0197,,,,,-0.11083,0.02295
combo/drilling_all_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha,2026-09-05T14:08:07,3000,6,1820,1814,-445.293,0.063,1675.005,0.9234,-429.8448,871.69,904.729,-28.46877,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau,Om0:uniform,40,logmass/0.70,,False,0.18236,3.78603,0.11044,0.35322,0.00608,0.28475,0.01648,0.01938,-0.36973,0.13959,1.5348,0.68425,,
combo/drilling_all_mass_linear_ssfr_tanh_interaction_gammaalpha,2026-09-05T15:09:27,3000,6,1820,1814,-439.779,0.066,1662.622,0.9166,-423.6533,859.307,892.346,-28.69432,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|zeta,Om0:uniform,40,logmass/0.70,,False,0.17744,3.05505,0.06191,0.36175,0.00583,0.05586,0.01908,0.0199,-0.33153,0.12503,,,-0.10721,0.02285
combo/drilling_all_mass_linear_ssfr_tanh_sncolour_softbroken_sntau,2026-09-05T15:10:22,3000,6,1820,1814,-437.569,0.064,1658.925,0.9145,-421.8048,855.61,888.649,-28.49382,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau|zeta,Om0:uniform,40,logmass/0.70,,False,0.17521,3.78977,0.05787,0.36894,0.00533,0.28837,0.01849,0.02002,,,1.42994,0.64302,-0.11219,0.02305
combo/drilling_all_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,2026-09-05T17:06:44,3500,7,1820,1813,-436.875,0.066,1650.999,0.9106,-417.8418,849.684,888.23,-28.4974,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau|zeta,Om0:uniform,40,logmass/0.70,,False,0.17684,3.79015,0.06286,0.36822,0.00577,0.2875,0.01896,0.01996,-0.32611,0.1208,1.428,0.63856,-0.10827,0.02263
