combo,tag,pkl_path,active_params,n_sne,logz,logz_err,alpha_mean,alpha_std,beta_mean,beta_std,gamma_mean,gamma_std,Om0_mean,Om0_std,fold,z_lo,z_hi,n_heldout,mean_residual,mean_residual_err,alpha_median,beta_median,gamma_median,Om0_median,zeta_mean,zeta_std,zeta_median,sn_tau_mean,sn_tau_std,sn_tau_median,gamma_alpha_mean,gamma_alpha_std,gamma_alpha_median,flagged_2sigma
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b03,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b03_results.pkl,"alpha,beta,gamma,Om0,sn_tau,zeta",1365,-365.3334022765463,0.0613543206351912,0.17765651267613386,0.005854430641102119,3.82176297200209,0.2847927020219357,0.058866832030897036,0.01973830403226358,0.34695826089028053,0.01861549270017942,3,0.6268874999999999,1.14418001,455,-0.0008244487802782823,0.010227187823504656,0.17763603403004327,3.8111407001729205,0.05872902254413741,0.34686435133293486,-0.12809943224326173,0.025477568512415127,-0.12820335786285555,1.3544932103162886,0.6143982401190229,1.184728728013376,,,,False
mass_linear_ssfr_tanh_interaction_gammaalpha,combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b00,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b00_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,zeta",1365,-332.088920833845,0.05991536967534513,0.17866559657757686,0.007588494178287083,3.0878537596301276,0.06583167445843617,0.04300216412471833,0.02637090336115214,0.33284237603868966,0.022425613315151447,0,0.02508999,0.324525,455,0.02326306138871296,0.01576865616238519,0.17871871375565324,3.088181927264283,0.0432423527431536,0.33269975857289263,-0.09007559688109393,0.03227580273904692,-0.08914403457347464,,,,-0.39230570161981015,0.21795096349763937,-0.37801357777278627,False
mass_linear_ssfr_tanh_interaction_gammaalpha,combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b01,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b01_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,zeta",1365,-280.64975506165973,0.0633894191142947,0.1782247243136331,0.006491632847866331,3.0348502527301604,0.06382477743281322,0.08976432888649427,0.021610616567203263,0.342527071001857,0.015901600873184627,1,0.324525,0.479345,455,-0.0018955291235125916,0.01292214788960157,0.17816594244644457,3.034517615766054,0.08973288606476208,0.3423312217547661,-0.0876622551336781,0.025301915889610054,-0.08772020655159503,,,,-0.28580304968151415,0.1275279252313565,-0.28269968215946395,False
mass_linear_ssfr_tanh_interaction_gammaalpha,combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b02,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b02_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,zeta",1365,-352.65560306831395,0.06348275487903726,0.17562917846414816,0.00636712914027563,3.06085664290563,0.06265713088164808,0.06106268839010051,0.020763949975988745,0.347018456175816,0.01637333432799445,2,0.479345,0.6268874999999999,455,-0.016409016123751296,0.009950220135963275,0.1756454705916098,3.0610556436374257,0.06101517810755878,0.3469795171204629,-0.11503144067508592,0.025131138873658383,-0.11491398500012077,,,,-0.26382057607542975,0.1342279175654954,-0.26057939761792676,False
mass_linear_ssfr_tanh_interaction_gammaalpha,combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b03,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b03_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,zeta",1365,-366.70976506767596,0.06325204815469013,0.1791538279567172,0.00642957915066213,3.074485213252537,0.0648290901940746,0.06177349418355195,0.02013558328247509,0.3445949958669775,0.018488068332388467,3,0.6268874999999999,1.14418001,455,0.003280206900525801,0.01031640275251935,0.17916043967226966,3.0745227480464368,0.06178506084421374,0.34461937162670964,-0.1250258740072745,0.02473335397432599,-0.12490309673008439,,,,-0.36663320478340905,0.12560566264077813,-0.36203015808528305,False
mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha,combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_b00,Plots/combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_b00_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,sn_tau",1365,-333.04393299566885,0.056209340944872906,0.18616550821056832,0.007843807111235819,3.640205538234891,0.2609791859576102,0.09222830493498425,0.020963974133237362,0.33413720311026124,0.022474860203315242,0,0.02508999,0.324525,455,0.020279533147624873,0.015843285650307595,0.1861393898648292,3.590785966077731,0.09217536783531546,0.33378501864351584,,,,2.0090153899565477,0.8292535765950506,1.8528656646411483,-0.6024089272453255,0.2684948614963813,-0.5740820651287608,False
mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha,combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_b01,Plots/combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_b01_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,sn_tau",1365,-282.17734865296086,0.058679997042802114,0.1800578302713441,0.006909747824409827,3.6772354813679438,0.28083201522749823,0.12710516047861842,0.01877806407449184,0.3375220269568262,0.01557977083692865,1,0.324525,0.479345,455,0.0010018144736608416,0.01299859224644399,0.1800959899287105,3.6400574023530545,0.12705451179133542,0.33728450028825196,,,,1.798461800381184,0.7978023456499009,1.5971375319599619,-0.2434331707008967,0.1345608321095175,-0.24315664087029545,False
mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha,combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_b02,Plots/combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_b02_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,sn_tau",1365,-358.1078466935181,0.05955251761124348,0.1793100056526375,0.006796129009926961,3.791483760760047,0.30544356696875435,0.10684982371459849,0.01836959425467598,0.34082460685831156,0.01621354281803215,2,0.479345,0.6268874999999999,455,-0.0169822958485194,0.009930886687641687,0.17936720939971085,3.7567467010749755,0.10692635827824985,0.3406215261269246,,,,1.5583272801757475,0.7271998761901293,1.3671001146776698,-0.33056887766276727,0.15807571842864696,-0.32870658058288293,False
mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha,combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_b03,Plots/combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_b03_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,sn_tau",1365,-374.0002116190416,0.059153331126356186,0.18413550257151276,0.006641090392605991,3.822548183701829,0.28994813703741207,0.11108604453723445,0.018530517832312642,0.3352090842050374,0.01844044761596518,3,0.6268874999999999,1.14418001,455,-0.00328397496109911,0.010199429638496408,0.1840908282328234,3.799267380299824,0.11118316181381199,0.3351573580674525,,,,1.4663000884084678,0.660500951564083,1.2911349937743064,-0.39774429881917905,0.15336154159740537,-0.39177547617790376,False
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_b00,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_b00_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,sn_tau,zeta",1365,-331.8592923254386,0.05947952372623274,0.17817104658732377,0.007558401866441051,3.6285485036736045,0.28221830172968354,0.045131176828415526,0.025908386595933346,0.33559711864102965,0.02240383974497532,0,0.02508999,0.324525,455,0.023910234432114725,0.015728498850609385,0.17823038041924066,3.569843476141576,0.045608306214698496,0.3355121482127535,-0.08992725602638234,0.03200560111057764,-0.08945537343169627,2.006811622994715,0.849198013390629,1.8567200686141725,-0.39412439591751464,0.21262305241027368,-0.3798335445594501,False
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_b01,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_b01_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,sn_tau,zeta",1365,-279.76812682598035,0.06262044073917451,0.1775365014344236,0.006519468653439443,3.6291385049760425,0.28292222359435615,0.09051498928781998,0.021776498068422058,0.34597472446846356,0.016021024577670642,1,0.324525,0.479345,455,-0.0027443411733787384,0.01288953563951248,0.17753557691886052,3.58136141511412,0.09050287841209731,0.34583893482943595,-0.08780351896811336,0.025334436716427114,-0.08795526475178561,1.8341690827353434,0.807653549549235,1.6502829620691692,-0.28039803667862345,0.12733587932152682,-0.2777208645575901,False
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_b02,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_b02_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,sn_tau,zeta",1365,-350.6062003225477,0.06390940908201805,0.17497193040521675,0.006375339719557443,3.7878423738415687,0.3105122664286063,0.061104405355668606,0.020543682204460772,0.3513496547238276,0.01641321697840273,2,0.479345,0.6268874999999999,455,-0.015067166319525458,0.009915444199865587,0.17500419765743255,3.7600010233175283,0.061028563225211406,0.35120652701444677,-0.11715155636323506,0.02515310231892809,-0.1170086787424481,1.4668730482013288,0.6980290130851768,1.2745606217884462,-0.2609237169420916,0.13192950909423698,-0.25737403361430083,False
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_b03,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_b03_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,sn_tau,zeta",1365,-364.0215763757735,0.06400365293780631,0.17863542497256407,0.006449205410223097,3.8222017980388934,0.2918075322149474,0.06166820319687012,0.02032871813199038,0.34678987325613514,0.018518884488494054,3,0.6268874999999999,1.14418001,455,-0.0008572576112083513,0.010316105103294124,0.17869457246937248,3.8101996243755463,0.06174949851634734,0.3467695416232543,-0.12701443478099134,0.025109908654185185,-0.12690760428478012,1.3615042284785472,0.6229971322654219,1.1864834267737618,-0.3667005697272596,0.12664544614063541,-0.3619193855655112,False
